,date,births
186,05-07-2015,7164
187,06-07-2015,12088
188,07-07-2015,13426
189,08-07-2015,12788
190,09-07-2015,12517
191,10-07-2015,12396
192,11-07-2015,8769
193,12-07-2015,7591
194,13-07-2015,11835
195,14-07-2015,12862
196,15-07-2015,12853
197,16-07-2015,12502
198,17-07-2015,12291
199,18-07-2015,8546
200,19-07-2015,7681
201,20-07-2015,12424
202,21-07-2015,13264
203,22-07-2015,12519
204,23-07-2015,12852
205,24-07-2015,12612
206,25-07-2015,8748
207,26-07-2015,7836
208,27-07-2015,12416
209,28-07-2015,13240
210,29-07-2015,12739
211,30-07-2015,12797
212,31-07-2015,12269
213,01-08-2015,8851
214,02-08-2015,7907
215,03-08-2015,12449
216,04-08-2015,13149
217,05-08-2015,12793
218,06-08-2015,12872
219,07-08-2015,12770
220,08-08-2015,8956
221,09-08-2015,7726
222,10-08-2015,12333
223,11-08-2015,13010
224,12-08-2015,12960
225,13-08-2015,12591
226,14-08-2015,12861
227,15-08-2015,8938
228,16-08-2015,7896
229,17-08-2015,12337
230,18-08-2015,13197
231,19-08-2015,12966
232,20-08-2015,13002
233,21-08-2015,12834
234,22-08-2015,9153
235,23-08-2015,7821
236,24-08-2015,12274
237,25-08-2015,13149
238,26-08-2015,12729
239,27-08-2015,12829
240,28-08-2015,12719
241,29-08-2015,8772
242,30-08-2015,7805
243,31-08-2015,12142
244,01-09-2015,13231
245,02-09-2015,12799
246,03-09-2015,12839
247,04-09-2015,12862
248,05-09-2015,8950
249,06-09-2015,7778
250,07-09-2015,8127
251,08-09-2015,12823
252,09-09-2015,13949
253,10-09-2015,13925
254,11-09-2015,12295
255,12-09-2015,9062
256,13-09-2015,7900
257,14-09-2015,12699
258,15-09-2015,13439
259,16-09-2015,13136
260,17-09-2015,13319
261,18-09-2015,13229
262,19-09-2015,9195
263,20-09-2015,8078
264,21-09-2015,12567
265,22-09-2015,13047
266,23-09-2015,12595
267,24-09-2015,12942
268,25-09-2015,12792
269,26-09-2015,8927
270,27-09-2015,7778
271,28-09-2015,12158
272,29-09-2015,12791
273,30-09-2015,12284
274,01-10-2015,13043
275,02-10-2015,12399
276,03-10-2015,8579
277,04-10-2015,7530
278,05-10-2015,12166
279,06-10-2015,12520
280,07-10-2015,12429
281,08-10-2015,12458
282,09-10-2015,12282
283,10-10-2015,8550
284,11-10-2015,7571
285,12-10-2015,11633
286,13-10-2015,12094
287,14-10-2015,12205
288,15-10-2015,12522
289,16-10-2015,11917
290,17-10-2015,8233
291,18-10-2015,7211
292,19-10-2015,11388
293,20-10-2015,12500
294,21-10-2015,12093
295,22-10-2015,12013
296,23-10-2015,11942
297,24-10-2015,8239
298,25-10-2015,7288
299,26-10-2015,11923
300,27-10-2015,12485
301,28-10-2015,12266
302,29-10-2015,11950
303,30-10-2015,11529
304,31-10-2015,8049
305,01-11-2015,7731
306,02-11-2015,12236
307,03-11-2015,12524
308,04-11-2015,12279
309,05-11-2015,12452
310,06-11-2015,11909
311,07-11-2015,8517
312,08-11-2015,7324
313,09-11-2015,11688
314,10-11-2015,12451
315,11-11-2015,12311
316,12-11-2015,12329
317,13-11-2015,11643
318,14-11-2015,8221
319,15-11-2015,7378
320,16-11-2015,11791
321,17-11-2015,12321
322,18-11-2015,12230
323,19-11-2015,12504
324,20-11-2015,12495
325,21-11-2015,8392
326,22-11-2015,7427
327,23-11-2015,12419
328,24-11-2015,13051
329,25-11-2015,11745
330,26-11-2015,7332
331,27-11-2015,8942
332,28-11-2015,7734
333,29-11-2015,7230
334,30-11-2015,12214
335,01-12-2015,13185
336,02-12-2015,12708
337,03-12-2015,12281
338,04-12-2015,11828
339,05-12-2015,8262
340,06-12-2015,7194
341,07-12-2015,11567
342,08-12-2015,12328
343,09-12-2015,11857
344,10-12-2015,12259
345,11-12-2015,11406
346,12-12-2015,8073
347,13-12-2015,7262
348,14-12-2015,11753
349,15-12-2015,12437
350,16-12-2015,12282
351,17-12-2015,12339
352,18-12-2015,12247
353,19-12-2015,8368
354,20-12-2015,7361
355,21-12-2015,12692
356,22-12-2015,13131
357,23-12-2015,11595
358,24-12-2015,8714
359,25-12-2015,6515
360,26-12-2015,7294
361,27-12-2015,7518
362,28-12-2015,13100
363,29-12-2015,13458
364,30-12-2015,13100
365,31-12-2015,11608
